date,pred,pred_ugly
2025-06-26,28412.35483259578,10545.63607214021
2025-06-27,28513.71694449602,10545.985468596673
2025-06-28,28130.12187251052,10444.388749967413
2025-06-29,28216.0661973768,10407.334013102281
2025-06-30,28093.75375798953,10461.490724777099
